shape_id,begin,end
22-907-1-sj2-1.1.R,"1","781"
2-T8-sj2-9.15.H,"1","723"
22-907-0-sj2-1.1.R,"1","301"
2-T8-sj2-9.14.R,"1","588"
22-920-4-sj2-1.1.R,"1","178"
2-T8-sj2-9.13.R,"1","625"
22-920-1-sj2-1.1.R,"1","256"
2-T8-sj2-9.27.H,"1","605"
2-T8-sj2-9.26.H,"1","731"
22-910-4-sj2-1.1.R,"1","186"
38-M90-sj2-1.20.H,"1","800"
2-T8-sj2-9.24.H,"1","735"
22-909-1-sj2-1.1.R,"1","512"
38-M90-sj2-1.2.R,"1","393"
22-908-8-sj2-1.1.R,"1","383"
38-M90-sj2-1.19.H,"1","375"
38-M90-sj2-1.18.R,"1","763"
22-930-9-sj2-1.1.R,"1","909"
38-M90-sj2-1.17.H,"1","611"
2-T8-sj2-9.20.R,"1","601"
22-930-8-sj2-1.1.R,"1","593"
38-M90-sj2-1.16.R,"1","721"
2-T8-sj2-9.34.H,"1","716"
22-930-7-sj2-1.1.R,"1","95"
38-M90-sj2-1.15.R,"1","361"
2-T8-sj2-9.33.H,"1","605"
22-930-6-sj2-1.1.R,"1","545"
38-M90-sj2-1.14.R,"1","786"
2-T8-sj2-9.32.R,"1","624"
22-930-4-sj2-1.1.R,"1","945"
22-930-3-sj2-1.1.R,"1","792"
2-T8-sj2-9.30.H,"1","700"
22-930-1-sj2-1.1.R,"1","419"
38-M90-sj2-1.26.R,"1","678"
2-T8-sj2-9.3.R,"1","592"
22-930-0-sj2-1.1.R,"1","845"
22-931-9-sj2-1.1.R,"1","283"
38-M90-sj2-1.24.R,"1","416"
22-931-8-sj2-1.1.R,"1","223"
38-M90-sj2-1.23.H,"1","784"
2-T8-sj2-9.41.R,"1","624"
22-931-7-sj2-1.1.R,"1","330"
38-M90-sj2-1.22.H,"1","731"
2-T8-sj2-9.40.H,"1","610"
22-931-6-sj2-1.1.R,"1","92"
23-N50-sj2-1.3.H,"1","980"
38-M90-sj2-1.21.R,"1","567"
2-T8-sj2-9.4.R,"1","589"
22-931-5-sj2-1.1.R,"1","339"
38-M90-sj2-1.35.H,"1","557"
2-T8-sj2-9.39.R,"1","618"
22-931-4-sj2-1.1.R,"1","627"
23-N50-sj2-1.1.R,"1","1016"
38-M90-sj2-1.34.H,"1","715"
2-T8-sj2-9.38.H,"1","713"
22-931-3-sj2-1.1.R,"1","773"
38-M90-sj2-1.33.H,"1","416"
22-931-1-sj2-1.1.R,"1","304"
38-M90-sj2-1.32.H,"1","359"
2-T8-sj2-9.36.H,"1","740"
2-T8-sj2-9.35.R,"1","607"
38-M90-sj2-1.30.R,"1","811"
2-T8-sj2-9.49.R,"1","599"
