shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
1834601094,145,TT_r-2056,1834601094,-3755977.170538525,305822.7010862055,1834601094,,,150.89931719999998,-33.9263504,POINT (305822.7010862055 -3755977.170538525)
1834208956,146,TT_r-2056,1834208956,-3755978.7294878997,305872.83471239236,1834208956,,,150.89985890000003,-33.9263737,POINT (305872.8347123924 -3755978.7294879)
272854068,147,TT_r-2056,272854068,-3755986.700280221,305936.5937338601,272854068,traffic_signals,,150.90054650000002,-33.926457299999996,POINT (305936.5937338601 -3755986.700280221)
3626149202,148,TT_r-2056,3626149202,-3756019.393765012,306161.95594278665,3626149202,traffic_signals,,150.9029759,-33.9267935,POINT (306161.9559427866 -3756019.393765012)
31879526,149,TT_r-2056,31879526,-3756021.630383365,306177.38258737104,31879526,,,150.9031422,-33.9268165,POINT (306177.382587371 -3756021.630383365)
272912512,150,TT_r-2056,272912512,-3756055.413076362,306408.9061307298,272912512,,,150.90563799999998,-33.9271636,POINT (306408.9061307298 -3756055.413076362)
1834208963,151,TT_r-2056,1834208963,-3756067.20564908,306498.1484223561,1834208963,,,150.9066003,-33.9272863,POINT (306498.1484223561 -3756067.20564908)
3626144552,152,TT_r-2056,3626144552,-3756095.796260673,306657.6261457732,3626144552,traffic_signals,,150.90831830000002,-33.92757329999999,POINT (306657.6261457732 -3756095.796260673)
272855200,153,TT_r-2056,272855200,-3756099.449049313,306678.1866809113,272855200,,,150.9085398,-33.927609999999994,POINT (306678.1866809113 -3756099.449049313)
1336405825,154,TT_r-2056,1336405825,-3756121.3621033775,306830.10032132076,1336405825,traffic_signals,,150.9101775,-33.9278354,POINT (306830.1003213208 -3756121.362103378)
1336405833,155,TT_r-2056,1336405833,-3756123.813194249,306849.7575995529,1336405833,,,150.9103895,-33.9278611,POINT (306849.7575995529 -3756123.813194249)
1336405878,156,TT_r-2056,1336405878,-3756124.3126898673,306854.1054363148,1336405878,,,150.9104364,-33.9278664,POINT (306854.1054363148 -3756124.312689867)
1336405844,157,TT_r-2056,1336405844,-3756125.2762074107,306861.27434187214,1336405844,crossing,,150.9105137,-33.927876399999995,POINT (306861.2743418721 -3756125.276207411)
1336405846,158,TT_r-2056,1336405846,-3756126.0361983865,306866.9962963015,1336405846,,,150.9105754,-33.9278843,POINT (306866.9962963015 -3756126.036198386)
2817083819,159,TT_r-2056,2817083819,-3756127.707078765,306886.8318864732,2817083819,,,150.9107895,-33.927903,POINT (306886.8318864732 -3756127.707078765)
2817083820,160,TT_r-2056,2817083820,-3756130.267283655,306914.7597227817,2817083820,,,150.9110909,-33.9279312,POINT (306914.7597227817 -3756130.267283655)
1336405876,161,TT_r-2056,1336405876,-3756135.903940935,306951.8046683709,1336405876,,,150.91149019999997,-33.927988799999994,POINT (306951.8046683709 -3756135.903940935)
571317687,162,TT_r-2056,571317687,-3756146.006506042,307019.6554332229,571317687,traffic_signals,,150.9122216,-33.928092299999996,POINT (307019.6554332229 -3756146.006506042)
1336425371,163,TT_r-2056,1336425371,-3756147.3083011145,307027.6543134905,1336425371,,,150.9123078,-33.9281055,POINT (307027.6543134905 -3756147.308301114)
1336425376,164,TT_r-2056,1336425376,-3756148.298064965,307035.7208322075,1336425376,,,150.91239480000002,-33.9281159,POINT (307035.7208322075 -3756148.298064965)
1336425379,165,TT_r-2056,1336425379,-3756151.67001684,307061.94478442037,1336425379,,,150.9126776,-33.9281511,POINT (307061.9447844204 -3756151.67001684)
1336425369,166,TT_r-2056,1336425369,-3756153.2154460964,307071.60412539233,1336425369,,,150.91278169999998,-33.92816679999999,POINT (307071.6041253923 -3756153.215446096)
1336425363,167,TT_r-2056,1336425363,-3756156.028180882,307084.41530165065,1336425363,,,150.9129196,-33.928194500000004,POINT (307084.4153016506 -3756156.028180882)
1336425347,168,TT_r-2056,1336425347,-3756160.2555962238,307101.8610930527,1336425347,,,150.9131073,-33.928235799999996,POINT (307101.8610930527 -3756160.255596224)
1336425364,169,TT_r-2056,1336425364,-3756166.3265045383,307119.224124526,1336425364,,,150.9132937,-33.928293700000005,POINT (307119.224124526 -3756166.326504538)
1336425355,170,TT_r-2056,1336425355,-3756198.156933215,307336.5395450287,1336425355,,,150.9156364,-33.9286204,POINT (307336.5395450287 -3756198.156933215)
7299087006,171,TT_r-2056,7299087006,-3756207.385006474,307427.9184635014,7299087006,,,150.91662240000002,-33.928720299999995,POINT (307427.9184635014 -3756207.385006474)
7299087006,172,TT_r-2056,7299087006,-3756207.385006474,307427.9184635014,7299087006,,,150.91662240000002,-33.928720299999995,POINT (307427.9184635014 -3756207.385006474)
1336425373,173,TT_r-2056,1336425373,-3756209.019719791,307444.1274929001,1336425373,,,150.9167973,-33.928738,POINT (307444.1274929001 -3756209.019719791)
7299060282,174,TT_r-2056,7299060282,-3756206.5272756563,307453.2237754493,7299060282,,,150.9168962,-33.9287172,POINT (307453.2237754493 -3756206.527275656)
3626144503,175,TT_r-2056,3626144503,-3756206.4182127104,307458.04934150435,3626144503,,,150.91694840000002,-33.9287171,POINT (307458.0493415043 -3756206.41821271)
